doc_id;date;speaker;city;country;subtitle;title;length;words_per_sentence;characters_per_word;flesch;flesch_grade;language;institution;source
2007-12-19 - ECB - Jean-Claude Trichet.txt;2007-12-19;Jean-Claude Trichet;;;Speech by Jean-Claude Trichet, President of the ECBBrussels, 19 December 2007;Hearing at the Economic and Monetary Affairs Committee of the European Parliament;;;;;;;ECB;
2007-12-12 - ECB - Juergen Stark.txt;2007-12-12;Juergen Stark;;;Dinner speech by Jürgen Stark, Member of the Executive Board of the ECBon the occasion of the ECB workshop onThe external dimension of monetary analysisFrankfurt am Main, 12 December 2007;The external dimension of monetary analysis;;;;;;;ECB;
2007-12-12 - ECB - Lucas Papademos.txt;2007-12-12;Lucas Papademos;;;Speech by Lucas Papademos, Vice President of the ECBFrankfurt am Main, 12 December 2007;Opening remarks at the press briefing on the occasion of the publication of the December 2007 ECB Financial Stability Review;;;;;;;ECB;
2007-12-10 - ECB - Lorenzo Bini Smaghi.txt;2007-12-10;Lorenzo Bini Smaghi;;;Speech by Lorenzo Bini Smaghi, Member of the Executive Board of the ECBCESIFINFlorence, 11 December 2007;Banking consolidation, innovation and access to credit;;;;;;;ECB;
2007-12-07 - ECB - Jean-Claude Trichet.txt;2007-12-07;Jean-Claude Trichet;;;Speech delivered by Jean-Claude Trichet, President of the ECBat the award ceremony on the occasion of the “6. Karl Klasen Journalistenpreis”Hamburg, 7 December 2007;The US economy, the euro area economy, and their central banks;;;;;;;ECB;
2007-12-05 - ECB - Jean-Claude Trichet.txt;2007-12-05;Jean-Claude Trichet;;;Keynote speech by Jean-Claude TrichetPresident of the European Central BankJournalist Symposium “Konvent für Deutschland” Berlin, 5 December 2007;The process of European economic and financial integration;;;;;;;ECB;
2007-12-03 - ECB - Lorenzo Bini Smaghi.txt;2007-12-03;Lorenzo Bini Smaghi;;;Dinner speech by Lorenzo Bini Smaghi, Member of the Executive Board of the ECBat the joint meeting of the GEPA-GPA-GSPABrussels, 3 December 2007;Globalisation and public perceptions;;;;;;;ECB;
2007-12-03 - ECB - Jean-Claude Trichet.txt;2007-12-03;Jean-Claude Trichet;;;Speech by Jean-Claude Trichet, President of the ECB2007 Eurofi Conference“Achieving the Integration of European Financial Markets in a Global context”European Parliament, Brussels, 3 December 2007;Enhancing the EU regulatory and supervisory framework: The Eurosystem’s perspective;;;;;;;ECB;
2007-12-03 - ECB - Jose Manuel Gonzalez-Paramo.txt;2007-12-03;Jose Manuel Gonzalez-Paramo;;;Speech by José Manuel González-Páramo, Member of the Executive Board of the ECBKeynote address at SUERF Conference on “Tracking Financial Behavior: Where do Macro and Micro Meet?” Milan, 3 December 2007;The role of information and communication in central bank policy: The experience of the recent financial turmoil;;;;;;;ECB;
2007-11-30 - ECB - Gertrude Tumpel-Gugerell.txt;2007-11-30;Gertrude Tumpel-Gugerell;;;Speech by Gertrude Tumpel-Gugerell, Member of the Executive Board of the ECB at the IEA conference on the ECB’s proposal for TARGET2-Securities Dublin, 30 November 2007;TARGET2-SECURITIES Gains from integrating the European post-trade infrastructure – the case for T2S;;;;;;;ECB;
